"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"605";"2177-918X"
"606";"1550-2376"
"607";"0031-8205"
"608";"1015-8553"
"609";"1439-9776"
"610";"1517-4050"
"611";"1522-063X"
"612";"1679-2629"
"613";"0029-5639"
"614";"0031-9317"
"615";"0103-4677"
"616";"1806-6933"
"617";"0103-4154"
"618";"1130-6939"
"619";"1809-2004"
"620";"1219-3314"
"621";"1807-1392"
"622";"1653-5766"
"623";"0195-9298"
"624";"0034-4877"
"625";"2236-451X"
"626";"0276-0460"
"627";"1679-1371"
"628";"0002-7316"
"629";"0090-0656"
"630";"0269-249X"
"631";"1078-9669"
"632";"1517-526X"
"633";"0104-4524"
"634";"4582-254"
"635";"0870-1520"
"636";"1808-3587"
"637";"1519-745X"
"638";"1099-062"
"639";"0945-9103"
"640";"1415-0603"
"641";"1645-4537"
"642";"0077-8931"
"643";"1806-3950"
"644";"1809-029X"
"645";"0716-0046"
"646";"0142-7547"
"647";"1521-3951"
"648";"0255-3643"
"649";"0705-3797"
"650";"1010-7363"
"651";"1416-2394"
"652";"0103-0213"
"653";"0025-682X"
"654";"0972-0871"
"655";"8619-7025"
"656";"2238-4901"
"657";"1464-6722"
"658";"0253-4886"
"659";"0973-2446"
"660";"0328-8064"
"661";"0104-1185"
"662";"0422-2784"
"663";"1717-4549"
"664";"0104-3781"
"665";"1101-1262"
"666";"0187-3148"
"667";"0009-9147"
"668";"1251-8069"
"669";"1807-7536"
"670";"1809-6891"
"671";"0898-7564"
"672";"1806-6194"
"673";"2318-0722"
"674";"815 -9319"
"675";"0267-0844"
"676";"1477-5751"
"677";"1047-6938"
"678";"1724-6008"
"679";"0177-7521"
"680";"2364-4653"
"681";"0002-9092"
"682";"1980-6795"
"683";"1026-9002"
"684";"0020-3157"
"685";"0964-0568"
"686";"1413-0122"
"687";"1806-8928"
"688";"1698-5486"
"689";"2049-3967"
"690";"1136-3401"
"691";"1056-1630"
"692";"0440-8888"
