"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"90703";"1679-0389"
"90704";"1676-5893"
"90705";"2238-7641"
"90706";"1707-2182"
"90707";"1021-3589"
"90708";"1807-0930"
"90709";"0338-1684"
"90710";"1679-4214"
"90711";"1378-1863"
"90712";"8575-2533"
"90713";"1807-3743"
"90714";"0873-3864"
"90715";"1676-2800"
"90716";"0020-7594"
"90717";"0102-0307"
"90718";"0173-9565"
"90719";"3928-3791"
"90720";"1415-8004"
"90721";"1543-5938"
"90722";"1065-657X"
"90723";"0104-0789"
"90724";"1519-402"
"90725";"0717-1498"
"90726";"0944-1921"
"90727";"0945-053X"
"90728";"0938- 990"
"90729";"2163-0755"
"90730";"1357-650X"
"90731";"0093-934X"
"90732";"1346-3500"
"90733";"0044-3123"
"90734";"1568-0142"
"90735";"1477-7819"
"90736";"1434-4742"
"90737";"0022-0531"
"90738";"  14-1569"
"90739";"8588-9624"
"90740";"1267-4397"
"90741";"0373-580X"
"90742";"1807-6033"
"90743";"0934-0874"
"90744";"0997-0584"
"90745";"1359-8546"
"90746";"0034-8635"
"90747";"0916-8516"
"90748";"1460-2385"
"90749";"1981-2256"
"90750";"0967-5868"
"90751";"2177-6776"
"90752";"1415-2231"
"90753";"1980-7651"
"90754";"8528-3022"
"90755";"1519-1893"
"90756";"1556-2839"
"90757";" 85 -8925"
"90758";"1025-7233"
"90759";"0123-4471"
"90760";"2447-3383"
"90761";"0187-4705"
"90762";"0425-4082"
"90763";"0328-2104"
"90764";"0010-4825"
"90765";"1698-4587"
"90766";"0022-4758"
"90767";"1679-0871"
"90768";"1342-4181"
"90769";"0040-1625"
"90770";"1414-025X"
"90771";"2412-1993"
"90772";"0950-7116"
"90773";"1040-841X"
"90774";"1084-824X"
"90775";"1415-6523"
"90776";"1679-2207"
"90777";"1518-2770"
"90778";"0186-1395"
"90779";"1479-0505"
"90780";"1542-7528"
"90781";"1050-9631"
"90782";"0022-3611"
"90783";"0006-4416"
"90784";"1519-0625"
"90785";"0007-1323"
"90786";"0732-8818"
"90787";"1573-5095"
"90788";"1516-0629"
"90789";"1984-6363"
"90790";"1808-5377"
"90791";"1677-7409"
"90792";"2236-7586"
"90793";"0011-9741"
"90794";"1518-6083"
"90795";"2070-3813"
"90796";"1679-0456"
"90797";"1675-2541"
"90798";"1876-6196"
"90799";"1980-3923"
"90800";"1984-2201"
"90801";"0103-582"
"90802";"0080-244"
"90803";"1570-0755"
"90804";"1518-062X"
"90805";"2174-6486"
"90806";"1985-4668"
"90807";"2182-2883"
"90808";"2236-5141"
"90809";"0185-1284"
"90810";"1679-6241"
"90811";"0306-5251"
"90812";"1423-0313"
"90813";"1476-9506"
"90814";"0087-036C"
"90815";"1423-7482"
"90816";"1809-1814"
"90817";"2316-3267"
"90818";"1808-8562"
"90819";"1808-818X"
"90820";"1510-3625"
"90821";" 010-3176"
"90822";"0971-684X"
"90823";"1886-3450"
"90824";"1809-4627"
"90825";"1677-9452"
"90826";"1747-0277"
"90827";"0361-5235"
"90828";"5243-5753"
"90829";"2182-018X"
"90830";"1518-5354"
"90831";"1213-3116"
"90832";"8755-9129"
"90833";"1364-6745"
"90834";"1133-844X"
"90835";"1010-660X"
"90836";"1035-4662"
"90837";"1357-3136"
"90838";"1462-6004"
"90839";"1676-1234"
"90840";"9999-9990"
"90841";"1808-110X"
"90842";"1981-3724"
"90843";"8528-019A"
"90844";"1565-1339"
"90845";"2171-9292"
"90846";"0803-7051"
"90847";"2318-4175"
"90848";"2238-4286"
"90849";"1742-206X"
"90850";"1516-6512"
"90851";"1446-8735"
"90852";"1477-5557"
"90853";"1751-858X"
"90854";"0873-2949"
"90855";"0777-0078"
"90856";"1817-5708"
"90857";"0009-921X"
"90858";"0029-7836"
"90859";"0101-9848"
"90860";"1447-9508"
"90861";"1553-345X"
"90862";"0718-0144"
"90863";"0032-082X"
"90864";"2165-7920"
"90865";"1918-5138"
"90866";"1832-4274"
"90867";"1165-158X"
"90868";"0932-5026"
"90869";"0962-8444"
"90870";"1575-9822"
"90871";"0018-926X"
"90872";"1518-4899"
"90873";"1740-0562"
"90874";"1347-9032"
"90875";"0992-2059"
"90876";"1516-8239"
"90877";"1123-9891"
"90878";"1516-3059"
"90879";"1982-3037"
"90880";"0066-82X"
"90881";"1809-7375"
"90882";"0764-3470"
"90883";"2178-7751"
"90884";"1530-1834"
"90885";"1984-4506"
"90886";"0172-1941"
"90887";"1677-7890"
"90888";"1738-5261"
"90889";"0110-8899"
"90890";"1808-9755"
"90891";"1463-9335"
"90892";"1318-0207"
"90893";"1809-0206"
"90894";"1276-2458"
"90895";"1253-1006"
"90896";"0013-5585"
"90897";"1462-5970"
"90898";"1677-2946"
"90899";"0101-051"
"90900";"1088-8152"
"90901";"0300-5577"
"90902";"2526-6128"
"90903";"1794-5739"
"90904";"1793-1851"
"90905";"1981-7169"
"90906";"0104-687"
"90907";"1402-3357"
"90908";"2237-9304"
"90909";"1137-2003"
"90910";"0219-0249"
"90911";"1465-3966"
"90912";"9742-5907"
"90913";"1756-994X"
"90914";"0010-0757"
"90915";"1676-742X"
"90916";"1880-019X"
"90917";"0713-3383"
"90918";"0095-3679"
"90919";"1677-0986"
"90920";"2179-1805"
"90921";"1432-4393"
"90922";"1562-6016"
"90923";"1099-1166"
"90924";"1359-0294"
"90925";"1065-9471"
"90926";"1680-6980"
"90927";"1710-2251"
"90928";"1601-1929"
"90929";"0034-7388"
"90930";"1386-7415"
"90931";"1590-8658"
"90932";"0004-9433"
"90933";"1808-4087"
"90934";"0904-1850"
"90935";"0001-0002"
"90936";"0245-528X"
"90937";"0104-4435"
"90938";"1618-9264"
"90939";"2141-2839"
"90940";"1612-1872"
"90941";"4420-5749"
"90942";"1414-6292"
"90943";"1984-7289"
"90944";"1981-1624"
"90945";"0003-018X"
"90946";"1983-2621"
"90947";"1557-5004"
"90948";"1576-5962"
"90949";"1806-2326"
"90950";"0740-817X"
"90951";"1729-441X"
"90952";"1269-6935"
"90953";"1384-5640"
"90954";"1982-0305"
"90955";"1516-891X"
"90956";"1807-1228"
"90957";"1678-684X"
"90958";"0006-312I"
"90959";"1808-8899"
"90960";"0002-7626"
"90961";"0102-2334"
"90962";"1807-569X"
"90963";"1309-5749"
"90964";"1518-2525"
"90965";"0387-7388"
"90966";"1516-0763"
"90967";"0870-5968"
"90968";"1057-2317"
"90969";"0219-4279"
"90970";"0191-491X"
"90971";"1669-2403"
"90972";"1981-3775"
"90973";"1474-0346"
"90974";"1465-3478"
"90975";"1381-298X"
"90976";"2316-9397"
"90977";"2177-3963"
"90978";"1550-7033"
"90979";"1151-8515"
"90980";"1573-5117"
"90981";"0962-0214"
"90982";"0268-0939"
"90983";"2689-5153"
"90984";"0325-2221"
"90985";"1518-8329"
"90986";"1515-7458"
"90987";"0945-7313"
"90988";"1863-0650"
"90989";"1819-4175"
"90990";"1463-6840"
"90991";"7223-067X"
"90992";"0972-8074"
"90993";"1323-1316"
"90994";"0102-1158"
"90995";"1095-8339"
"90996";"1808-5040"
"90997";"1981-1189"
"90998";"1980-864X"
"90999";"1044-4068"
"91000";"2447-9462"
"91001";"0743-684X"
"91002";"1128-2460"
"91003";"1990-6145"
"91004";"2177-4153"
"91005";"1808-4303"
"91006";"1679-4206"
"91007";"2175-7429"
"91008";"0928-4680"
"91009";"1573-1979"
"91010";"0329-8213"
"91011";"1518-8777"
"91012";"0085-8668"
"91013";"1138-7963"
"91014";"1983-0742"
"91015";"2236-3785"
"91016";"0173-9913"
"91017";"1984-3526"
"91018";"1387-6473"
"91019";"1982-7393"
"91020";"1557-1459"
"91021";"0257-0076"
"91022";"0866-9953"
"91023";"1439-0450"
"91024";"0036-8733"
"91025";"0091-6331"
"91026";"0871-7664"
"91027";"1020-989"
"91028";"1478-2421"
"91029";"1857-9094"
"91030";"1981-2191"
"91031";"8576-100X"
"91032";"9726-3616"
"91033";"2674-8525"
"91034";"1522-1555"
"91035";"0008-0055"
"91036";"1415-4923"
"91037";"0044-2267"
"91038";"2179-9164"
"91039";"0033-0981"
"91040";"2152-2197"
"91041";"2318-8863"
"91042";"1518-9783"
"91043";"0972-9216"
"91044";"0872-2110"
"91045";"8560-1020"
"91046";"1577-2422"
"91047";"0391-9838"
"91048";"1071-4391"
"91049";"1516-8832"
"91050";"1578-6870"
"91051";"1678-8532"
"91052";"3442-0330"
"91053";"1981-0288"
"91054";"0038-0407"
"91055";"0218-1266"
"91056";"1020-8216"
"91057";"1522-1504"
"91058";"1980-9484"
"91059";"1806-9479"
"91060";"1438-1656"
"91061";"1471-2954"
"91062";"1396-5882"
"91063";"1519-6267"
"91064";"1806-2954"
"91065";"1216-8076"
"91066";"0440-9213"
"91067";"1553-7374"
"91068";"1516-5671"
"91069";"1676-2010"
"91070";"0012-9623"
"91071";"1414-9814"
"91072";"1542-8826"
"91073";"1520-6769"
"91074";"1721-7709"
"91075";"2003-1394"
"91076";"1981-4003"
"91077";"1519-4672"
"91078";"0080-2085"
"91079";"0120-4661"
"91080";"8585-7019"
"91081";"0190-6011"
"91082";"1550-6606"
"91083";"0101-122"
"91084";"1983-4748"
"91085";"  34-8105"
"91086";"2238-1244"
"91087";"1679-8023"
"91088";"1982-4831"
"91089";"1945-0265"
"91090";"1677-9800"
"91091";"1981-6332"
"91092";"0188-9478"
"91093";"0717-8948"
"91094";"1529-0719"
"91095";"0016-2310"
"91096";"1423-0232"
"91097";"0778-5569"
"91098";"1819-7566"
"91099";"1679-7310"
"91100";"0898-8048"
"91101";"1664-042X"
"91102";"1354-0661"
"91103";"0098-3063"
"91104";"0969-594X"
"91105";"1806-1982"
"91106";"0049-4488"
"91107";"1555-5070"
"91108";"1131-9100"
"91109";"1982-5765"
"91110";"1984-5812"
"91111";"2176-6223"
"91112";"1221-8421"
"91113";"0010-6348"
"91114";"1526-484X"
"91115";"1516-492"
"91116";"1677-6194"
"91117";"1267-8015"
"91118";"0104-1893"
"91119";"1542-8745"
"91120";"1543-3080"
"91121";"0393-2249"
"91122";"0123-4986"
"91123";"2995-2174"
"91124";"1557-7759"
"91125";"0091-7648"
"91126";"1676-5548"
"91127";"0039-6257"
"91128";"1558-7916"
"91129";"8575-3014"
"91130";"1090-820X"
"91131";"0741-335"
"91132";"1135-6405"
"91133";"0102-7777"
"91134";"1806-0285"
"91135";"2178-6054"
"91136";"1096-6374"
"91137";"1677-4728"
"91138";"1677-8294"
"91139";"1677-5988"
"91140";"1687-8760"
"91141";"1255-8873"
"91142";"1980-2080"
"91143";"0329-3602"
"91144";"1559-4491"
"91145";"1678-6645"
"91146";"0926-6801"
"91147";"1677-2067"
"91148";"1808-0618"
"91149";"0098-1605"
"91150";"1128-07"
"91151";"1063-4576"
"91152";"1233-1821"
"91153";"1517-4948"
"91154";"0042-3696"
"91155";"0030-5914"
"91156";"0739-3148"
"91157";"1063-8210"
"91158";"1346-9843"
"91159";"1514-6418"
"91160";"0120-3649"
"91161";"9741-500X"
"91162";"8574-9380"
"91163";"0000-6777"
"91164";"1390-017X"
"91165";"8590-2663"
"91166";"0255-5328"
"91167";"0174-7485"
"91168";" 097-0546"
"91169";"2258-014X"
"91170";"1361-4568"
"91171";"1516-2424"
"91172";"0952-3367"
"91173";"2381-9677"
"91174";"0102-8057"
"91175";"2178-1990"
"91176";"1617-698"
"91177";"1751-6161"
"91178";"1618-1476"
"91179";"0960-1406"
"91180";"1566-0184"
"91181";"1519-255C"
"91182";"0040-020"
"91183";"1524-5787"
"91184";"0003-3006"
"91185";"  17-435"
"91186";"1573-6893"
"91187";"1692-5637"
"91188";"1808-8449"
"91189";"1432-8364"
"91190";"2176-4808"
"91191";"2214-157X"
"91192";"1981-2558"
"91193";"1460-2091"
"91194";"2179-0019"
"91195";"1679-074X"
"91196";"1269-1763"
"91197";"  14-1402"
"91198";"1415-846"
"91199";"1062-1024"
"91200";"1681-5683"
"91201";"951 -0893"
"91202";"1450-5096"
"91203";"1648-1212"
"91204";"0004-803"
"91205";"0423-1279"
"91206";"0328-9680"
"91207";"0001-527X"
"91208";"1415-9856"
"91209";"1353-8047"
"91210";"0100-986"
"91211";"1527-3350"
"91212";"1762-438X"
"91213";"83  -868"
"91214";"1980-5942"
"91215";"0103-0655"
"91216";"2358-1654"
"91217";"0022-1996"
"91218";"1542-4730"
"91219";"1479-2621"
"91220";"1029-0109"
"91221";"1011-3440"
"91222";"0104-1168"
"91223";"1662-9779"
"91224";"1573-5060"
"91225";"1809-1830"
"91226";"2179-5746"
"91227";"   1-5166"
"91228";"0370-6141"
"91229";"1980-900X"
"91230";" 874-8456"
"91231";" 151-9 78"
"91232";"1519-4515"
"91233";"1167-8224"
"91234";"1667-4545"
"91235";"1734-8412"
"91236";"1369-1635"
"91237";"0753-322"
"91238";"1315-5216"
"91239";"0048-5713"
"91240";"0212-9108"
"91241";"1981-2825"
"91242";"1981-7428"
"91243";"0101-6171"
"91244";"1433-2779"
"91245";"1132-6581"
"91246";"1471-2296"
"91247";"1622-4159"
"91248";"1176-2322"
"91249";"1351-3125"
"91250";"0168-002"
"91251";"1809-2691"
"91252";"1676-7411"
"91253";"1830-7728"
"91254";"1981-870X"
"91255";"0734-9343"
"91256";"1930-8337"
"91257";"0009-4056"
"91258";"1525-6073"
"91259";"0927-6440"
"91260";"1025-5583"
"91261";"1806-5228"
"91262";"2249-6610"
"91263";"2176-9109"
"91264";"0872-7098"
"91265";"1669-7723"
"91266";"1131-9429"
"91267";"0101-9545"
"91268";"1984-6614"
"91269";"0325-3384"
"91270";"1198-2241"
"91271";"0035-1598"
"91272";"1665-8574"
"91273";"0327-6147"
"91274";"1577-8398"
"91275";"1729-1801"
"91276";"9879-8681"
"91277";"0325-173X"
"91278";"1413-2761"
"91279";"0874-8438"
"91280";"1684-579X"
"91281";"1424-3199"
"91282";"0121-795X"
"91283";"8589-2504"
"91284";"0884-2949"
"91285";"0149-5739"
"91286";"1419-2982"
"91287";"1807-1910"
"91288";"0392-9760"
"91289";"0007-1234"
"91290";"1980-055X"
"91291";"1516-3995"
"91292";"1983-392X"
"91293";"1518-54"
"91294";"0353-9504"
"91295";"0188-4557"
"91296";"1063-6560"
"91297";"1666-1621"
"91298";"0103-4800"
"91299";"0744-6918"
"91300";"1809-3779"
"91301";"0000-999"
"91302";"0005-9099"
"91303";"1808-7913"
"91304";"0391-2051"
"91305";"1545-9624"
"91306";"1517-1126"
"91307";"0037-1106"
"91308";"1761-2861"
"91309";"8536-106X"
"91310";"0168-2933"
"91311";"1435-1943"
"91312";"2332-4252"
"91313";"1979-9569"
"91314";"0103-071X"
"91315";"2764-1589"
"91316";"0399-8320"
"91317";"1086-7651"
"91318";"1753-965X"
"91319";"9999-9991"
"91320";"1679-1613"
"91321";"1022-1824"
"91322";"1257-7537"
"91323";"1176-9343"
"91324";"1679-2971"
"91325";"1807-6440"
"91326";"1981-4550"
"91327";"1729-9004"
"91328";"1535-9468"
"91329";"0047-1852"
"91330";"0306-3127"
"91331";"1809-2454"
"91332";"2179-1554"
"91333";"2236-7616"
"91334";"1551-9899"
"91335";"0326-3126"
"91336";"1677-50 X"
"91337";"1806-6053"
"91338";"1519-125A"
"91339";"0263-7103"
"91340";"0213-0556"
"91341";"2177-1383"
"91342";"1000-0011"
"91343";"1076-2825"
"91344";"9728-400X"
"91345";"0121-215X"
"91346";"1009-9271"
"91347";"1007-0214"
"91348";"8599-4601"
"91349";"9911-9028"
"91350";"1980-9700"
"91351";"1519-7212"
"91352";"7682-1044"
"91353";"0188-896X"
"91354";"1679-9758"
"91355";"1217-8950"
"91356";"1545-8083"
"91357";"1008-6969"
"91358";"1518-398"
"91359";"1415-252X"
"91360";"0916-8818"
"91361";"1528-8331"
"91362";"2006-0101"
"91363";"1807-6386"
"91364";"1593-098X"
"91365";"1807-9849"
"91366";"1553-5827"
"91367";"1983-6880"
"91368";"8574-0116"
"91369";"1568-7767"
"91370";"1413-0053"
"91371";"1025-9112"
"91372";"1560-9073"
"91373";"1877-9468"
"91374";"1476-6256"
"91375";"1359-7027"
"91376";"0103-100"
"91377";"1519-654"
"91378";"  16-7997"
"91379";"0717-6449"
"91380";"2176-7769"
"91381";"0309-877X"
"91382";"1699-6003"
"91383";"1473-9550"
"91384";"0425-3574"
"91385";"1152-3336"
"91386";"0022-484"
"91387";"1896-4672"
"91388";"0104-0260"
"91389";"1984-7513"
"91390";"1679-5601"
"91391";"0008-3658"
"91392";"0874-9086"
"91393";"2137-1905"
"91394";"2236-420X"
"91395";"1097-0339"
"91396";"0219-8770"
"91397";"2197-4578"
"91398";"2596-1640"
"91399";"0018-0904"
"91400";"1988-9011"
"91401";"0925-5213"
"91402";"1210-0552"
"91403";"1806-0005"
"91404";"2236-9600"
"91405";"0041-6436"
"91406";"1139-0139"
"91407";"1553-961X"
"91408";"2316-8323"
"91409";"1982-5447"
"91410";"1519-0665"
"91411";"1662-453X"
"91412";"1240-3474"
"91413";"1343-8875"
"91414";"2236-1375"
"91415";"1747-597X"
"91416";"0753-3454"
"91417";"1063-51X"
"91418";"0899-0220"
"91419";"1528-3542"
"91420";"0363-8855"
"91421";"0378-620X"
"91422";"1447-6959"
"91423";"1980-9271"
"91424";"1173-8790"
"91425";"0716-0321"
"91426";"1063-293X"
"91427";"1346-3969"
"91428";"0096-8846"
"91429";"1180-3991"
"91430";"2747-5205"
"91431";"1832-3669"
"91432";"1809-1938"
"91433";"1470-5001"
"91434";"1806-6135"
"91435";"0325-8637"
"91436";"1743-7075"
"91437";"1679-4931"
"91438";"0169-1341"
"91439";"0372-8853"
"91440";"7002-810"
"91441";"1517-3712"
"91442";"1932-8818"
"91443";"0010-9452"
"91444";"1983-1870"
"91445";"1368-4973"
"91446";"0103-266"
"91447";"0959-5805"
"91448";"1982-5498"
"91449";"0046-9858"
"91450";"8588-012X"
"91451";"2359-3733"
"91452";"0897-756"
"91453";"1057-9419"
"91454";"1041-3766"
"91455";"8587-4705"
"91456";"1077-0219"
"91457";"2176-9036"
"91458";"1614-1199"
"91459";"256 - 704"
"91460";"1617-7061"
"91461";"  14-1590"
"91462";"1983-4772"
"91463";"0047-245X"
"91464";"0001-5776"
"91465";"1983-6511"
"91466";"1744-165X"
"91467";"0211-9005"
"91468";"0100-8359"
"91469";"2764-9997"
"91470";"1984-882X"
"91471";"0070-4296"
"91472";"1471-6976"
"91473";"0718-0187"
"91474";"1415-5125"
"91475";"1554-1010"
"91476";"0098-4590"
"91477";"1743-4270"
"91478";"1954-3522"
"91479";"2211-5501"
"91480";"6314-"
"91481";"1416-6814"
"91482";"8587-8537"
"91483";"1022-169X"
"91484";"1365-2478"
"91485";"1807-8982"
"91486";"0872-282X"
"91487";"2238-2259"
"91488";"0101-1943"
"91489";"0048-7295"
"91490";"1742-352X"
"91491";"1235-5858"
"91492";"0798-7803"
"91493";"0899-8493"
"91494";"1532-4117"
"91495";"0264-3413"
"91496";"  48-3567"
"91497";"1980-9867"
"91498";"0102-469"
"91499";" 167-9522"
"91500";"1666-2563"
"91501";"0897-7542"
"91502";"1248-9433"
"91503";"0717-3652"
"91504";"2165-7998"
"91505";"1368-2822"
"91506";"1053-7694"
"91507";"2790-0606"
"91508";"1794-6077"
"91509";"1138-1728"
"91510";"0166-162"
"91511";"1124-318X"
"91512";"1729-6919"
"91513";"  14-7556"
"91514";"1455-4186"
"91515";"1983-2664"
"91516";"2238-7137"
"91517";"1432-1106"
"91518";"1136-8071"
"91519";"2296-4185"
"91520";"0914-6091"
"91521";"1425-1655"
"91522";"2236-0093"
"91523";"2447-3359"
"91524";"2358-4432"
"91525";"1341-8521"
"91526";"1669-8991"
"91527";"0887-3828"
"91528";"1981-2221"
"91529";"0398-0499"
"91530";"1518-0277"
"91531";"1728-5909"
"91532";"0741-0883"
"91533";"1516-356"
"91534";"1646-3722"
"91535";"2178-7468"
"91536";"1719-8782"
"91537";"1697-008X"
"91538";"0942-4466"
"91539";"1677-4523"
"91540";"1475-746X"
"91541";"2175-2079"
"91542";"1808-6853"
"91543";"0943-6677"
"91544";"1566-2772"
"91545";"2178-4809"
"91546";"1341-7959"
"91547";"0034-5210"
"91548";"2446-9580"
"91549";"1083-4729"
"91550";"0326-7458"
"91551";"2763-6046"
"91552";"0972-6705"
"91553";"1872-2148"
"91554";"1678-1243"
"91555";"1645-7013"
"91556";"0124-0579"
"91557";"0095-1307"
"91558";"0951-6433"
"91559";"2358-5951"
"91560";"0013-0559"
"91561";" 010-3503"
"91562";"0100-7587"
"91563";"2462-9782"
"91564";"1523-3839"
"91565";"0167-482X"
"91566";"1056-7194"
"91567";"9974-8002"
"91568";"1361-6579"
"91569";"0482-5276"
"91570";"2675-6900"
"91571";"2905-4301"
"91572";"1476-8186"
"91573";"1720-4003"
"91574";"2177-6350"
"91575";"1980-7783"
"91576";"1982-9485"
"91577";"1980-2439"
"91578";"1645-9350"
"91579";"1677-9655"
"91580";"1234-123X"
"91581";"1423-0224"
"91582";"2525-4332"
"91583";"0123-9082"
"91584";"1636-9416"
"91585";"0972-4354"
"91586";"  34-9771"
"91587";"8574-1926"
"91588";"1669-953X"
"91589";"2075-9479"
"91590";"0735-2751"
"91591";"1460-258X"
"91592";"2218-0559"
"91593";"1336-9563"
"91594";"1860-9423"
"91595";"1088-8705"
"91596";"1684-4637"
"91597";"2359-1137"
"91598";"1347-5355"
"91599";"1413-111"
"91600";"1296-2139"
"91601";"0018-043"
"91602";"7273-0986"
"91603";"1415-3465"
"91604";"0737-6782"
"91605";"0960-1643"
"91606";"0329-8191"
"91607";"2049-3614"
"91608";"1302-8723"
"91609";"1458-2214"
"91610";"2323-0126"
"91611";"1414-2937"
"91612";"1015-0102"
"91613";"0021-584"
"91614";"1438-5627"
"91615";"2175-0858"
"91616";"8599-0308"
"91617";"1668-6233"
"91618";"0293-3063"
"91619";"1678-9733"
"91620";"2319-4170"
"91621";"1365-2141"
"91622";"2176-1221"
"91623";"8587-1450"
"91624";"0016-7789"
"91625";"0103-5592"
"91626";"1982-7261"
"91627";"0717-2370"
"91628";"0275-6196"
"91629";"1993-4904"
"91630";"1029-8436"
"91631";"1478-4491"
"91632";"1677-7751"
"91633";"2763-9517"
"91634";"    -1415"
"91635";"0147-7447"
"91636";"1292-7775"
"91637";"1777-5556"
"91638";"1316-7081"
"91639";"0326-646X"
"91640";"1696-1277"
"91641";"1073-1199"
"91642";"   0-1035"
"91643";"0270-6210"
"91644";"0308-8197"
"91645";"1516-891"
"91646";"1521-1363"
"91647";"1365-2486"
"91648";"1809-9947"
"91649";"2238-7625"
"91650";"1414-4182"
"91651";"1415-2118"
"91652";"0102-61X"
"91653";"2179-9636"
"91654";"1659-5288"
"91655";"0858-9844"
"91656";"1561-6481"
"91657";"0185-0636"
"91658";"1808-1428"
"91659";"1984-4891"
"91660";"1537-2995"
"91661";"1466-7266"
"91662";"2638-6070"
"91663";"0104-455"
"91664";"1381-1630"
"91665";"2073-4433"
"91666";"1405-0943"
"91667";"8575-0570"
"91668";"1568-0118"
"91669";"8585-994X"
"91670";"0587-3908"
"91671";"1437-434X"
"91672";"0103-663X"
"91673";"4721-3217"
"91674";"0883- 769"
"91675";"1415-426"
"91676";"1516-964"
"91677";"2328-5850"
"91678";"1229-9138"
"91679";"1677-8243"
"91680";"1204-5357"
"91681";"0717-9308"
"91682";"1677-888"
"91683";"0897-5507"
"91684";"0875-019"
"91685";"2965-1506"
"91686";"0874-8810"
"91687";"1679-6047"
"91688";"1519-647X"
"91689";"2007-9842"
"91690";"1423-1587"
"91691";"1984-0780"
"91692";"1517-8252"
"91693";"1645-3018"
"91694";"1997-2008"
"91695";"1879-1107"
"91696";"0937-6429"
"91697";"0188-168X"
"91698";"1527-6473"
"91699";"0568-4027"
"91700";"0038-4038"
"91701";"0031-5362"
"91702";"1678-6580"
"91703";"1809-127"
"91704";"0101-303"
"91705";"1982-1123"
"91706";"2674-2489"
"91707";"2176-7297"
"91708";"1312-0174"
"91709";"1517-4964"
"91710";"0179-4957"
"91711";"1751-7362"
"91712";"0001-1111"
"91713";"2179-2143"
"91714";"3284-069"
"91715";"8721-119X"
"91716";"2352-4928"
"91717";"1646-2173"
"91718";"1043-3546"
"91719";"1521-9488"
"91720";"0104-3986"
"91721";"0874-1336"
"91722";"8588-0225"
"91723";"1981-7940"
"91724";"5209-0221"
"91725";"1983-2753"
"91726";"  11-1111"
"91727";"2703-0967"
"91728";"0716-1921"
"91729";"1513-7368"
"91730";"1312-451X"
"91731";"1573-2959"
"91732";"2176-7955"
"91733";"1547-4631"
"91734";"0890-5118"
"91735";"1010-9470"
"91736";"0969-6474"
"91737";"1535-6078"
"91738";"1438-387X"
"91739";"1231-1235"
"91740";"7674-2067"
"91741";"1555-9874"
"91742";"1941-3300"
"91743";"0081-800X"
"91744";"1981-1195"
"91745";"2325-9671"
"91746";"0770-2019"
"91747";"0305-215X"
"91748";"2218-0441"
"91749";"1443-5756"
"91750";" 034-7167"
"91751";"0253-6269"
"91752";"1087-1950"
"91753";"1050-6977"
"91754";"1528-3593"
"91755";"2250-4001"
"91756";"1463-631X"
"91757";"1135-5832"
"91758";"0232-0274"
"91759";"1677-522"
"91760";"1981-4984"
"91761";"1430-8339"
"91762";"0102-2164"
"91763";"1475-9276"
"91764";"0032-681X"
"91765";"1362-3095"
"91766";"1657-7450"
"91767";"1135-4127"
"91768";"1591-3090"
"91769";"1981-1756"
"91770";"1808-9095"
"91771";"1016-796X"
"91772";"1667-9075"
"91773";"1726-8725"
"91774";"0380-9633"
"91775";"1982-1301"
"91776";"1529-3505"
"91777";"0004- 282"
"91778";"1981-5883"
"91779";"1578-181X"
"91780";"1850-2059"
"91781";"1980-7570"
"91782";"0041-7330"
"91783";"1248-0525"
"91784";"0004- 82X"
"91785";"0229-8651"
"91786";"1809-0435"
"91787";"235 -2359"
"91788";"1865-6528"
"91789";"8575-9804"
"91790";"1516-05"
"91791";"2178-2911"
"91792";"0130-6750"
"91793";"1741-6426"
"91794";" 101-039B"
"91795";"1984-9605"
"91796";"0078-7809"
"91797";"1980-8267"
"91798";"1515-6761"
"91799";"1864-3027"
"91800";"0732-303"
"91801";"1603-7170"
"91802";"1551-5036"
"91803";"1980-9018"
"91804";"1439-7641"
"91805";"1755-1668"
"91806";"1518-2300"
"91807";"0101-8620"
"91808";"1695-5951"
"91809";"1747-8413"
"91810";"1344-1698"
"91811";"0390-6361"
"91812";"2247-8051"
"91813";"1122-2344"
"91814";"0706-1706"
"91815";"1340-8062"
"91816";"0180-8990"
"91817";"1136-3308"
"91818";"1809-5690"
"91819";"0328-1981"
"91820";"0265-5357"
"91821";"1863-9933"
"91822";"1980-3493"
"91823";"101 -6083"
"91824";"1421-9883"
"91825";"1514-8874"
"91826";"1452-8630"
"91827";"1087-0571"
"91828";"1666-7883"
"91829";"0103-817X"
"91830";"1808-7302"
"91831";"1518-7268"
"91832";"1809-2616"
"91833";"1827-9643"
"91834";"1077-2855"
"91835";"1042-3915"
"91836";"1897-5593"
"91837";"1544-2217"
"91838";"0020-9317"
"91839";"1078-5337"
"91840";"9857-1028"
"91841";"1827-3750"
"91842";"1360-2365"
"91843";"1981-545X"
"91844";"3702-5619"
"91845";"1560-9146"
"91846";"1553-5495"
"91847";"1746-9392"
"91848";"1094-2246"
"91849";"1981-2507"
"91850";"0033-2720"
"91851";"1983-1374"
"91852";"1433-7339"
"91853";"1873-0604"
"91854";"1980-377X"
"91855";"1576-5199"
"91856";"1692-1259"
"91857";"1984-7246"
"91858";"0065-1400"
"91859";"1315-3919"
"91860";"0034-3498"
"91861";"1546-2250"
"91862";"0972-5091"
"91863";"0158-4197"
"91864";"0140-9174"
"91865";"1753-2817"
"91866";"2429-389X"
"91867";"1046-669X"
"91868";"1751-1062"
"91869";"1980-9301"
